PDB,KD1,KD2,Initials,Notes
5chb,289.2,562.7,LL,"Kd1: int 6,7, Kd2: int 1-3"
3s5j,249.8,1729.35,LL,"Kd1: int 5,6, Kd2: int 1-2"
4lzn,247.2,1738.4,LL,"Kd1: int 4,5, Kd2: int 1-2"
3ie9,147.4,447.3,LL,"Kd1: int 4. Kd2: int 1,2"
4f8e,252.6,1620.1,LL,"Kd1: int 4,5, Kd2: int 1-2"
3u0g,na,na,LL,
3iea,na,na,LL,
4els,1151.1,1590.8,LL,"Kd1: int 7-12, kd2: int 1-3"
7nea,647.7,2425.5,LL,"Kd1: int 2, Kd2: int 1"
3mpy,na,na,LL,
4fe8,793.8,1328.6,LL,"Kd1: int 3-5, Kd2: int 1,2"
4fec,793.8,1328.6,LL,"Kd1: int 3-5, Kd2: int 1,2"
1dxf,761.3,1462.6,LL,"Kd1: int 2,3, Kd2: int 1"
6xpj,na,na,LL,
5kwa,na,na,LL,
2dub,na,na,LL,
6n93,na,na,LL,
1kwp,na,na,LL,
6axv,na,na,LL,
2v5k,na,na,LL,
4onx,na,na,LL,
1dkr,337,1722.4,LL,"Kd1: int 4,5, Kd2: int 1,2"
6dhm,na,na,LL,
5zli,na,na,LL,
6x7q,na,na,LL,
6b2i,na,na,LL,
3h02,1153.2,1622,LL,"Kd1: int 7-12, Kd2: int 1-3"
2dgl,1972.8,4645.5,LL,"Kd1: int 4-6, Kd2: int 1-3"
3pft,na,na,LL,
2vwt,878.1,1552.5,LL,"Kd1 1: int 3-5, kd2: int 1-2"
3o6x,na,na,LL,
4elw,na,na,LL,
4dya,1604.6,2480.2,LL,"Kd1: int 2, Kd2: int 1"
4c0c,1147.8,425.2,LL,"Kd1: int 1, Kd2: int 5"
1y12,na,na,LL,
3t89,1249.2,1571.9,LL,"Kd1: int 7-12, Kd2: int 1-3"
4zla,na,na,LL,
3ro5,na,na,LL,
4lpv,na,na,LL,
3nwu,620.8,965.4,LL,"Kd1: int 4-5, Kd2: int 1-3"
5yft,673.6,2045.9,LL,"Kd1: int 3-5, Kd2: int 1-2"
6j42,na,na,LL,
5dik,na,na,LL,
4hpp,na,na,LL,
4mf4,971.2,1395.3,LL,"Kd1: int 4-9, Kd2: int 1-3"
4d2i,na,na,LL,
1olo,na,na,LL,
2v08,191.4,238.6,LL,"Kd1: int 6-7, Kd2: int 3-4"
4hxe,771.8,2707.4,LL,"Kd1: int 2, Kd2: int 2"
1xk8,1129.7,193.3,LL,"Kd1: int 1-6, Kd2: int 9-11"
1waa,na,na,LL,
4dyn,na,na,LL,
5gma,698.2,1073.8,LL,"Kd1: int 7-12, Kd2: int 1-3"
6b2j,na,na,LL,
6b2h,na,na,LL,
6vgc,1246.4,1199.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
3mbh,755.1,1876.1,LL,"Kd1: int4-9, Kd2: int 1-3"
5lhv,na,na,LL,
6vgi,1237.1,1004.1,LL,"Kd1: int 1-6, Kd2: int 7-9"
1ibs,335.3,1636.1,LL,"Kd1: int 4-5, Kd2: int 1-2"
4j6w,na,na,LL,
3w1v,458.5,1745.9,LL,"Kd1: int 7-8, Kd2: int 1-2"
6axx,na,na,LL,
3g64,1960.9,1656.1,LL,"Kd1: int 1-3, Kd2: int "
1vp8,na,na,LL,
4lcz,na,na,LL,
4hzc,1241.3,369.3,LL,"Kd1: int 1-2, 6-7, 11-12, Kd2: int 15, 19-20"
5g47,na,na,LL,
4pxy,1173.6,132.3,LL,"Kd1: int 1-2, Kd2: int 8"
1e9s,na,na,LL,
4ppd,na,na,LL,
4ko8,na,na,LL,
3dnc,na,na,LL,
2ewb,926.7,1545.7,LL,"Kd1: int 1, Kd2: int 3"
3pw3,na,na,LL,
3oyz,1997.8,894,LL,"Kd1: int 1, Kd2: int 2"
4mmk,na,na,LL,
4r42,na,na,LL,
5jbn,574.6,1076.8,LL,"Kd1: int 2-3, Kd2: int 1"
4qif,na,na,LL,
6vsk,na,na,LL,
6b2k,na,na,LL,
6b2g,na,na,LL,
1no5,na,na,LL,
3ete,1751.7,1033.2,LL,"Kd1: int 1-6, Kd2: int 7-9"
6ull,530.3,1327.6,LL,"Kd1: int 3, Kd2: int 1"
3tg6,na,na,LL,
4jbt,498.1,815.3,LL,"Kd1: 4-5, Kd2: int 1"
6axs,na,na,LL,
6p2k,922,239.7,LL,"Kd1: int 1-2, Kd2: int 6-7"
1qex,1207.8,2300.2,LL,"Kd1: int 1-2, Kd2: int 3-4"
6h7x,na,na,LL,
5nsq,1199.4,1558.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
4lf0,844.7,4527,LL,"Kd1: int 3, Kd2: int 1"
3c2r,na,na,LL,
3c2v,na,na,LL,
4elx,na,na,LL,
2br3,na,na,LL,
6ern,na,na,LL,
5onc,na,na,LL,
3c2o,na,na,LL,
6wvv,na,na,LL,
1p8c,822.4,1160.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
1wro,na,na,LL,
1rjn,1184.6,1711.9,LL,"Kd1: int 5-7, Kd2: int 1"
6axr,na,na,LL,
2br4,na,na,LL,
6aw6,436.5,849.6,LL,"Kd1: int 2, Kd2: int 1"
3uaw,na,na,LL,
4x2t,1377.2,1434,LL,"Kd1: int , Kd2: int 1,4,5"
3njd,1122.2,1372.8,LL,"Kd1: int 1-2, Kd2: int 3"
4gyl,na,na,LL,
1e9r,na,na,LL,
4kww,na,na,LL,
2j3v,789.3,1189,LL,"Kd1: int 3, Kd2: int 1"
7lba,1053.5,1340.3,LL,"Kd1: int 11, 17-19, 24-25, Kd2: int 6,8-9"
6ee2,1397.1,1030.2,LL,"Kd1: int 1-3, 8,10,12, Kd2: int 13,14,18"
3m83,726.6,1059.7,LL,"Kd1: int 7-12, kd2: int 1-3"
4xgh,515.6,5494.6,LL,"Kd1: int 2, Kd2: int 1"
2vws,873.4,1561.6,LL,"Kd1: int 3-5, Kd2: int 1-2"
4fn8,877.4,209.4,LL,"Kd1: int 1, Kd2: int 4"
1qjc,573.9,1075.8,LL,"Kd1: int 2-3, Kd2: int 1"
5zfp,na,na,LL,
2plq,825.6,4544.2,LL,"Kd1: int 2-3, Kd2: int 1"
4b5x,865.9,1372.7,LL,"Kd1: int 2-3, Kd2: int 1"
1dxy,617.1,2278.8,LL,"Kd1: int 2, Kd2: int 1"
1gki,na,na,LL,
5d8n,1089.9,878.3,LL,"Kd1: int 1-3, Kd2: int 4-5"
3t8w,1400.6,977.4,LL,"Kd1: int 2-3, 6-7, 10-11, Kd2: int 13,15,17"
2d5f,2633.6,2081.8,LL,"Kd1: int 1-2, Kd2: int 3"
5yfx,662.1,2040.6,LL,"Kd1: int 2, Kd2: int 1"
5wpw,2497,2295.2,LL,"Kd1: int 1-2, Kd2: int 3"
1w4c,na,na,LL,
4xfz,na,na,LL,
3kds,na,na,LL,
5dtw,na,na,LL,
4k3n,1398.8,1007.4,LL,"Kd1: int 1,4,6,8,9,11, Kd2: int 13-15"
5ig2,na,na,LL,
1tv4,1051.8,1177.5,LL,"Kd1: int 2, Kd2: int 1"
3c3v,2857.3,2561.5,LL,"Kd1: int 1, Kd2: int 2"
4r6t,1406.2,926.5,LL,"Kd1: int 4-6, 10,12, Kd2: int 13, 14, 18"
4zy2,1419.2,992,LL,"Kd1: int 1,3,5,8, 10, 11, Kd2: int 14,15,18"
1doi,286,450.4,LL,"Kd1: 4, Kd2: 1"
5nay,2298.5,1062,LL,"Kd1: int 1-6, Kd2: int 7-9"
4blp,na,na,LL,
5ayy,na,na,LL,
7bad,19,229.8,LL,"Kd1: int 19, Kd2:int 2"
3uav,na,na,LL,
4aq6,2247.9,1313.9,LL,"Kd1: int 2,3,7, 8,9,12, Kd2: int 15, 16, 18"
3ux4,na,na,LL,
3zds,2330.2,1321.7,LL,"Kd1: int 1,2,7,8,10,12, Kd2: int 14,15,18"
4h1t,na,na,LL,
6eee,1403.2,1006.6,LL,"Kd1: int 3,4,6-8,10, Kd2: int 14,15,18"
4h4l,na,na,LL,
4xrq,na,na,LL,
6wje,na,na,LL,
3bv6,na,na,LL,
4aq2,2270.4,1310.6,LL,"Kd1: int 1,4,7,9,11-12, Kd2: int 13,15,17"
4gyn,na,na,LL,
3soo,na,na,LL,
5hgm,na,na,LL,
3c2e,na,na,LL,
6phe,154.3,1444.2,LL,"Kd1: int 23-25, 27,28,32, Kd2: int 1-3"
6o14,na,na,LL,
2dxe,1005.7,1056.6,LL,"Kd1: int 2,3, Kd2: int 1"
4hxf,2610.2,780.5,LL,"Kd1: int 2, Kd2: int 1"
5ntd,1203.9,1546.4,LL,"Kd1: int 9-12, 16-17, Kd2: int 1,3-4"
2dya,996.6,1057.3,LL,"Kd1: int 2-3, KD1: int 1"
3lar,na,na,LL,PDBePISA could not find
1y88,412.1,497.7,LL,"Kd1: int4, Kd2: int 3"
6ufi,2277.6,2814.9,LL,"Kd1: int 2, Kd2: int 1"
1ynb,na,na,LL,
3oyx,1943.2,875.3,LL,"Kd1: int 1, Kd2: int 2"
1t57,na,na,LL,
3kqx,1391.9,1011.6,LL,"Kd1: int 3-5, 7,8,12, Kd2: int 15-17"
5g02,626.3,1632.5,LL,"Kd1: int 2, Kd2: int 1"
4qig,na,na,LL,
4r7y,na,na,LL,
5cbm,na,na,LL,
2dxf,985.2,1048.6,LL,"Kd1: int 2-3, Kd2: int 1"
5hgp,na,na,LL,
2rij,1767.8,204.9,LL,"Kd1: int 1, Kd2: int 4"
3ssq,na,na,LL,
4zy0,1394.8,974.4,LL,"Kd1: int 2,4,5, 8,9,12, Kd2: int 13,16-17"
5ayx,na,na,LL,
3ov9,na,na,LL,
3hu3,na,na,LL,
3cf2,na,na,LL,
3pug,1994.2,846.4,LL,"Kd1: int 1, Kd2: int 2"
6b7a,na,na,LL,
2j3x,780.7,1203,LL,"Kd1: int 3, Kd2: int 1"
4fir,na,na,LL,
5ikl,1249.8,3675.7,LL,"Kd1: int 3-5, Kd2: int 1-2"
4mej,1641.6,894.4,LL,"Kd1: int 3-5, Kd2: int 1-2"
7awo,na,na,LL,PDBePISA could not find
6cuq,1202.6,173.7,LL,"Kd1: int 1-3, Kd2: int 5-6"
3m4g,na,na,LL,
3otw,427.6,1177.8,LL,"Kd1: int 11-16, Kd2: int 1-3"
1ik4,na,na,LL,
1od5,2522.2,2091.8,LL,"Kd1: int 1-2, Kd2: int 3"
3uay,na,na,LL,
2vd3,1501.2,805.2,LL,"Kd1: int 1-2, Kd2: int 4"
3jyg,1195.3,1286.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
3mzo,na,na,LL,
2bmu,306.6,1318.8,LL,"Kd1: int 6-7, Kd2: int 1"
3c2f,na,na,LL,
5hvw,na,na,LL,
4kq7,2599.7,2169.1,LL,"Kd1: int 1-2, Kd2: int 3"
4blr,na,na,LL,
3ibg,220.7,1746.8,LL,"Kd1: int 17-22, Kd2: int 1-3"
5c69,2071.1,198.9,LL,"Kd1: int 1, Kd2: int 3"
6pd3,2205.7,257.7,LL,"Kd1: int 1, Kd2: int 3"
4kzf,831.7,4636,LL,"Kd1: int 3, Kd2: int 1"
2jbm,na,na,LL,
4kwv,na,na,LL,
6ga0,495.7,249.5,LL,"Kd1: int 2, Kd2: int 4"
5w0j,na,na,LL,
3uax,na,na,LL,
6a2v,na,na,LL,
5g3p,739.3,4141.4,LL,"Kd1: int 7-12, Kd2: int 1-3"
6xpi,na,na,LL,
2dy9,992.7,1056.3,LL,"Kd1: int 2-3, Kd2: int 1"
2ac7,na,na,LL,
4uqh,1143.9,420.5,LL,"Kd1: int 1, Kd2: int 5"
2a8y,1214.1,1002.2,LL,"Kd1: int 1,3,7, 8,10,11, Kd2: int 13,14,17"
4k1t,447.8,423.4,LL,"Kd1: int 1-3, Kd2: int 4-5"
3m82,452.3,1053,LL,"Kd1: int 9-14, Kd2: int 1-3"
4x0s,184.3,12.8,LL,"Kd1: int 3, Kd2: int 16"
6pcx,2205.1,258.8,LL,"Kd1: int 1, Kd2: int 3"
4ytv,na,na,LL,
6j1u,na,na,LL,
1w4a,na,na,LL,
1zei,na,na,LL,
1egh,na,na,LL,
3dci,421.7,1118.2,LL,"Kd1: int 3-5, Kd2: int 1-2"
3r5v,780.7,708.2,LL,"Kd1: int 1,3,5, Kd2: int 7,10"
3uaz,na,na,LL,
3un9,na,na,LL,
4igv,417.8,412.9,LL,"Kd1: int 2, Kd2: int 3"
5zi9,1076.4,2258.2,LL,"Kd1: int 4, Kd2: int 2"
2uxy,837.4,4519,LL,"Kd1: int 3, Kd2: int 1"
4fiq,na,na,LL,
4zx9,na,na,LL,
4tv5,928.5,1639,LL,"Kd1: int 2, Kd2: int 1"
2vhq,na,na,LL,
4i49,1162.7,1322.7,LL,"Kd1: int 2, Kd2: int 1"
3ia0,na,na,LL,
6pd5,2242.3,253.8,LL,"Kd1: int 1, Kd2: int 2"
6g1z,na,na,LL,
3etd,1798.2,1114.6,LL,"Kd1: int 1-6, Kd2: int 7-9"
3h47,na,na,LL,
5ayz,na,na,LL,
4dyp,na,na,LL,
1eyb,2386.2,1376.1,LL,"Kd1: int 2, Kd2: int 2"
4zyq,na,na,LL,
5l19,328,511,LL,"Kd1: int 4, Kd2: int 2"
6pd6,2221.1,236.2,LL,"Kd1: int 1, Kd2: int 3"
4j4r,na,na,LL,
5t3o,290.2,1816.1,LL,"Kd1: int 6-8, Kd2: int 1-2"
1ey2,2432.7,1406,LL,"Kd1: int 1, Kd2: int 2"
4blt,na,na,LL,
5sa7,na,na,LL,Structures not available
3hu1,na,na,LL,
2v5j,698.3,1539.2,LL,"Kd1: int 3-4, Kd2: int 1"
2vrs,na,na,LL,
4a0x,74.4,1013.7,LL,"Kd1: int 5, Kd2: int 1"
3bey,na,na,LL,
3vvc,na,na,LL,
6o7f,480,1809,LL,"Kd1: int 3, Kd2: int 1"
2gk3,836.1,1195.7,LL,"Kd1: int 4-9, Kd2: int 1-3"
1nh7,617.2,1325.2,LL,"Kd1: int 2, Kd2: int 1"
1w44,na,na,LL,
3tl6,na,na,LL,
6twm,751.7,1823.5,LL,"Kd1: int 7,8,10, 14,16,18, Kd2: int 1,2,5"
3ig4,na,na,LL,
3lub,na,na,LL,
4u0e,na,na,LL,
1gl7,na,na,LL,
1b93,na,na,LL,
2ji5,309.1,1307.8,LL,"Kd1: int 6-7, Kd2: int 1"
1fr3,504.1,1388.5,LL,"Kd1: int 15, 17-21, Kd2: int 1,5-6"
1vke,597.7,1120.8,LL,"Kd1: int 4-9, Kd2: int 1-3"
3v38,309.7,892.7,LL,"Kd1: int 4, Kd2: int 1"
1j0a,386.1,1685.7,LL,"Kd1: int 5-7, Kd2: int 1-2"
1gl6,na,na,LL,
3bn4,na,na,LL,
3doh,745,531,LL,"Kd1: int 1-2, Kd2: int 3"
1s8a,na,na,LL,
4uvr,1120.9,410.4,LL,"Kd1: int 1, Kd2: int 5"
6bhs,na,na,LL,
3fz6,58,5438.1,LL,"Kd1: int 28-33, Kd2: int 1-3"
5w4q,na,na,LL,
1z38,na,na,LL,
1w46,na,na,LL,
3kr5,1382.2,1060.2,LL,"Kd1: int 3,5,7,8,11, 12, Kd2: int 13-15"
6r74,248.7,109.3,LL,"Kd1: int 2, Kd2: int 3"
3dmb,229.1,1016.6,LL,"Kd1: 7-9, Kd2: int 1-4"
6v2f,na,na,LL,
4bls,na,na,LL,
3u40,na,na,LL,
4xfy,na,na,LL,
5w4o,na,na,LL,
5ntf,983.8,1455.7,LL,"Kd1: int 3-4, Kd2: int 1"
1s89,126.8,1477.9,LL,"Kd1: int 17-22, Kd2: int 1-3"
3kkf,na,na,LL,
3ssr,na,na,LL,
5vg3,2270.1,2765.4,LL,"Kd1: int 3-5, Kd2: int 1-2"
1z34,na,na,LL,
3kr4,na,na,LL,
2c4k,229.2,2068.8,LL,"Kd1: int 12-15, Kd2: int 2-3"
6l1q,na,na,LL,
4r0n,572.7,951.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
5ntg,991.4,1455.8,LL,"Kd1: int 3-4, Kd2: int 1"
3p52,na,na,LL,
1z37,na,na,LL,
6n1c,543.6,595.8,LL,"Kd1: int 4-9, Kd2: int 1-3"
3owm,na,na,LL,
1bpn,980.3,1544.9,LL,"Kd1: int 2, Kd2: int 1"
3dn9,na,na,LL,
1x0u,1329.9,4920.6,LL,"Kd1: int 4-9, Kd2: int 1-3"
6nxm,997.1,678.9,LL,"Kd1: int 1-3, Kd2: int 4-5"
2p10,186.4,2419.2,LL,"Kd1: int 13-18, Kd2: int 1-3"
4zi6,1093.8,1287.5,LL,"Kd1: int 4-9, Kd2: int 1-3"
5xhh,na,na,LL,
4d8y,na,na,LL,
6b7c,530.4,1099.7,LL,"Kd1: int 2-3, Kd2: int 1"
1q0m,na,na,LL,
1z35,na,na,LL,
1z39,na,na,LL,
5miw,na,na,LL,
3qvl,na,na,LL,
4bwy,na,na,LL,
3nio,1257,970.1,LL,"Kd1: int 1-6, Kd2: int 7-9"
3wky,1089.4,1507.1,LL,"Kd1: int 2-3, Kd2: int 1"
1gq6,985.8,959,LL,"Kd1: int 1-3, Kd2: int 4-5"
4ep0,na,na,LL,
4ozl,1071.4,241.9,LL,"Kd1: int 1, Kd2: int 3"
3fz8,57.9,5467.5,LL,"Kd1: int 22-27, Kd2: int 1-3"
1rxs,na,na,LL,
5x3e,na,na,LL,
1od6,484.7,1001.1,LL,"Kd1: int 2, Kd2: int 1"
1r7r,na,na,LL,
4a6d,442.3,219.3,LL,"Kd1: int 2, Kd2: int 3"
1q0g,na,na,LL,
4h69,928.3,273.8,LL,"Kd1: int 2-7, Kd2: int 15-17"
4zy1,na,na,LL,
1z36,na,na,LL,
4h8m,na,na,LL,
4d8v,na,na,LL,
3fz7,60.1,5416,LL,"Kd1: int 23-28, Kd2: int 1-3"
4xro,na,na,LL,
3soz,na,na,LL,
5er7,na,na,LL,
1vmd,na,na,LL,
2cwk,964.9,1044.4,LL,"Kd1: int 2-3, Kd2: int 1"
3i6p,na,na,LL,
4r7m,na,na,LL,
4i9a,na,na,LL,
6we5,1033,928.4,LL,"Kd1: int 1-3, Kd2: int 4-5"
1q0d,na,na,LL,
4da0,na,na,LL,
3pns,na,na,LL,
3gp4,375.7,1895.3,LL,"Kd1: int 2-3, Kd2: int 1"
1j58,2198,2812.7,LL,"Kd1: int 2, Kd2: int 1"
2prr,na,na,LL,
5cgz,703.5,1551.6,LL,"Kd1: int 5, Kd2: int 2"
4tv4,na,na,LL,
2uy9,2264.3,2783.7,LL,"Kd1: int 2, Kd2: int 1"
5njl,651.8,586.1,LL,"Kd1: int 1, Kd2: int 2"
5vgu,na,na,LL,
3ib9,1382.7,4693.8,LL,"Kd1: int 2-3, Kd2: int 1"
3wsj,na,na,LL,
4h5m,na,na,LL,
5fif,1416.8,3904.3,LL,"Kd1: int 4-9, Kd2: int 1-3"
1l3j,2185.8,2802,LL,"Kd1: int 2, Kd2: int 1"
5kaj,1371.8,452.3,LL,"Kd1: int 2,5,9-12, Kd2: int 25,28,30"
4mzq,na,na,LL,
1ci3,na,na,LL,
6qch,667.3,1008.4,LL,"Kd1: int 2-3, Kd2: int 1"
1v6h,na,na,LL,
3l93,601.2,1293.6,LL,"Kd1: int 2, Kd2: int 1"
4yjk,na,na,LL,
5hgl,na,na,LL,
4r76,na,na,LL,
3qvj,na,na,LL,
1pmo,2247.8,5398.4,LL,"Kd1: int 4-6, Kd2: int 1-3"
2eey,na,na,LL,
2bma,1007.5,1621.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
4fpp,na,na,LL,
6bwr,na,na,LL,
5nb0,2138.4,1062.7,LL,"Kd1: int 1-4, 6,8, Kd2: int 9, 10,12"
2cwq,209.6,2178.2,LL,"Kd1: int 8-10, Kd2: int 1-2"
3hu2,na,na,LL,
3kxu,635.4,105,LL,"Kd1: int 1, Kd2: int 4"
5kah,1355.7,441.3,LL,"Kd1: int 1,3,4,7, 9,12, Kd2: int 25,29,30"
4r2w,na,na,LL,
4m7w,na,na,LL,
3na6,723.2,1821.6,LL,"Kd1: int 2, Kd2: int 1"
1odl,na,na,LL,
1svm,na,na,LL,
1uw8,2257.6,2794.3,LL,"Kd1: int 2, Kd2: int 1"
2a18,na,na,LL,
1g8y,na,na,LL,
6n9i,115.9,1156.9,LL,"Kd1: int 10-12, Kd2: int 1-2"
2a1b,na,na,LL,
4dao,na,na,LL,
1w47,na,na,LL,
3dby,497.9,1188.9,LL,"Kd1: int 29,30, Kd2: int 11"
3qns,720.2,1137.9,LL,"Kd1: int 2, Kd2: int 1"
3fpp,na,na,LL,
4her,na,na,LL,PDBePISA could not find
5nth,na,na,LL,
1wpv,na,na,LL,
3qvk,na,na,LL,
2ji4,249.8,1482.4,LL,"Kd1: int 3, Kd2: int 1"
1aw9,na,na,LL,
2pcl,na,na,LL,
6zeq,na,na,LL,
4ylh,1405.5,405.3,LL,"Kd1: int 1,4,8,9,11,12, Kd2: int 29,33,34"
5hi0,2223.4,2719.4,LL,"Kd1: int 2, Kd2: int 1"
1w49,na,na,LL,
4dar,na,na,LL,
3jru,na,na,LL,
6sll,na,na,LL,
1vk0,na,na,LL,
5hgo,na,na,LL,
3cim,na,na,LL,
1nh8,1152,1100.8,LL,"Kd1: int 1, Kd2: int 3"
4dab,na,na,LL,
4met,2315,2803.9,LL,"Kd1: int 3-4, Kd2: int 2"
1q0f,na,na,LL,
4kln,na,na,LL,
4liw,na,na,LL,
6erm,na,na,LL,
1bpm,na,na,LL,
4yb7,827.2,998.3,LL,"Kd1: int 10,12, 15-18, Kd2: int 3-5 "
6uve,na,na,LL,
4efd,na,na,LL,
1pke,na,na,LL,
1gqm,na,na,LL,
4d98,na,na,LL,
4d9h,na,na,LL,
3kd9,na,na,LL,
3i98,780.7,706.7,LL,"Kd1: int 2,3,6, Kd2: int 7,9"
5v75,963.3,1089.2,LL,"Kd1: int 4-9, Kd2: int 1-3"
2v09,2261.4,2755.9,LL,"Kd1: int 2, Kd2: int 1"
1nlf,na,na,LL,
6czl,1098.9,1246.4,LL,"Kd1: int 4-9, Kd2: int 1-3"
2cge,579.5,1597.5,LL,"Kd1: int 6-8, Kd2: int "
1guo,463.7,1353.7,LL,"Kd1: int 10, 11, 13, Kd2: int 2-3"
3l92,613.2,1039.8,LL,"Kd1: int 2, Kd2: int 1"
5ir2,956.9,1255,LL,"Kd1: int 2, Kd2: int 1"
3iav,1364.6,4652.9,LL,"Kd1: int 2-3, Kd2: int 1"
1usq,661.5,387.9,LL,"Kd1: int 1,3, Kd2: int 7"
